4,2022-09-01,●保育と福祉の合同就職説明会は終了しました。,0,http://www.wakatake.info/assets/fukusi_setsumeikai.pdf,2,,1,
3,2022-01-28,● 採用情報を更新しました。,0,http://www.wakatake.info/singlefolder/index_2.html,1,,1,
2,2022-01-28,● 現況報告・決算報告書,0,http://www.wakatake.info/singlefolder/index_3.html,1,,1,
